ticker,security,sbti_company_name,near_term_status,near_term_target_classification,near_term_target_year,long_term_status,long_term_target_year,net_zero_status,net_zero_year,full_target_language,date_updated
A,Agilent Technologies,"Agilent Technologies, Inc",Targets set,1.5°C,FY2030,Targets set,FY2050,Targets set,FY2050,"Overall Net Zero target
Agilent Technologies Inc commits to reach net-zero greenhouse gas emissions across the
value chain by FY2050.
Near-Term Targets
Agilent Technologies Inc commits to reduce absolute scope 1 and 2 GHG emissions 50% by
FY2030 from a FY2019 base year. Agilent Technologies Inc also commits to reduce absolute
scope 3 GHG emissions from purchased goods and services, capital goods, upstream
transportation and distribution, business travel and employee commuting 30% within the
same timeframe.
Long-Term Targets
Agilent Technologies Inc commits to reduce absolute scope 1, 2 and 3 emissions 95% by
FY2050 from a FY2019 base year.",2023-10-12 01:00:00
AAPL,Apple Inc.,"Apple, Inc.",Targets set,1.5°C,FY2030,,,,,"Apple, Inc. commits to reduce absolute combined scope 1, 2 and 3 GHG emissions 62% by FY2030 from a FY2019 base year. Apple also commits to continue annually sourcing 100% renewable electricity through FY2030.* *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.",2021-05-06 01:00:00
ABBV,AbbVie,AbbVie,Targets set,1.5°C,2030.0,,,,,"AbbVie commits to reduce absolute scope 1 and 2 GHG emissions 42.0% by 2030 from a 2021 base year*. AbbVie also commits to increase active sourcing of renewable electricity from 29.5% in 2021 to 100.0% by 2030. AbbVie further commits that 79.1% of its suppliers by emissions covering purchased goods and services, capital goods, and upstream transportation and distribution, will have science-based targets by 2027. * The target boundary includes land-related emissions and removals from bioenergy feedstocks.",2023-04-27 01:00:00
ABNB,Airbnb,"Airbnb, Inc",Targets set,1.5°C,2030.0,,,,,"Airbnb, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 78.4% by 2030 from a 2019 base year. Airbnb, Inc. also commits to increase annual sourcing of renewable electricity from 0% in 2019 to 100% by 2030. Airbnb, Inc. further commits to reduce scope 3 GHG emissions 55% per M USD of gross profit by 2030 from a 2019 base year",2022-10-20 01:00:00
ACN,Accenture,Accenture,Targets set,1.5°C,FY2030,Targets set,FY2040,Targets set,FY2040,"Overall Net-Zero Target: Accenture commits to reach net-zero greenhouse gas emissions across the value chain by FY2040. Near-Term Targets: Accenture commits to reduce absolute scope 1 and 2 GHG emissions 80% by FY2030 from a FY2019 base year. Accenture also commits to reduce scope 3 GHG emissions 55% per unit of revenue within the same timeframe. Long-Term Targets: Accenture commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2040 from a FY2019 base year. Accenture also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.

",2024-06-13 01:00:00
ADBE,Adobe Inc.,"Adobe, Inc.",Targets set,1.5°C,FY2030,Targets set,FY2050,Targets set,FY2050,"Overall Net-Zero Target: Adobe Inc. commits to reach net-zero greenhouse gas emissions across the value chain by FY2050. Near-Term Targets: Adobe Inc. commits to reduce absolute scope 1 and 2 GHG emissions 42% by FY2030 from a FY2022 base year. Adobe Inc. also commits to reduce scope 3 GHG emissions 52% per USD value added within the same timeframe.  Long-Term Targets: Adobe Inc. commits to reduce absolute scope 1, 2, and 3 GHG emissions 90% by FY2050 from a FY2022 base year.",2024-08-08 01:00:00
ADI,Analog Devices,"Analog Devices, Inc.",Targets set,1.5°C,2030.0,,,Commitment removed,,"Analog Devices Inc. commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year. Analog Devices Inc. also commits that 66.7% of its suppliers by spend covering purchased goods and services, will have science-based targets by 2025.",2021-07-15 01:00:00
ADM,Archer Daniels Midland,Archer Daniels Midland,Commitment removed,,,,,,,,2022-04-28 01:00:00
ADSK,Autodesk,"Autodesk, Inc.",Targets set,1.5°C,FY2031,,,,,"Autodesk commits to reduce absolute scope 1 and 2 GHG emissions 50% by FY2031 from a FY2020 base year. Autodesk also commits to reduce scope 3 GHG emissions from purchased goods and services, fuel and energy-related activities, business travel, and employee commuting 55% per dollar of gross profit over the same timeframe. Autodesk commits that 26.5% of its suppliers by emissions covering purchased goods and services and business travel, will have science-based targets by FY2027. Autodesk commits to continue annually sourcing 100% renewable electricity through FY2031.",2021-11-04 01:00:00
AKAM,Akamai Technologies,Akamai Technologies INC,Commitment removed,,,,,Commitment removed,,,2021-09-23 01:00:00
AMAT,Applied Materials,Applied Materials,Targets set,1.5°C,FY2030,,,,,"Applied Materials Inc. commits to reduce absolute scope 1 and 2 GHG emissions
50% by FY2030 from a FY2019 base year. Applied Materials Inc. also commits to
increase active annual sourcing of renewable electricity from 36% in FY2019 to
100% by FY2030. Applied Materials Inc. further commits to reduce scope 3 GHG
emissions from use of sold products 55% per million USD of value added by
FY2030 from a FY2019 base year.",2023-11-30 01:00:00
