ticker,tier2_scope1_tco2e,tier2_scope1_method,tier2_scope1_sector_used,tier2_scope1_peer_count,tier2_scope1_notes,tier2_scope2_tco2e,tier2_scope2_method,tier2_scope2_sector_used,tier2_scope2_peer_count,tier2_scope2_notes
ABBV,,,,,,158783.4,median_model_revenue+employees,sector:Health Care,18,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Health Care' (18 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (3.19915e-06) x this company's revenue ($64,385,998,848) = 205,980 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (1.95766) x this company's employee count (57,000) = 111,586 tCO2e. Final estimate is the average of the available method(s): 158,783 tCO2e."
ACN,259569.4,median_model_revenue+employees,sector:Information Technology,37,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Information Technology' (37 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (6.23987e-07) x this company's revenue ($73,100,591,104) = 45,614 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (0.592647) x this company's employee count (799,000) = 473,525 tCO2e. Final estimate is the average of the available method(s): 259,569 tCO2e.",662969.8,median_model_revenue+employees,sector:Information Technology,29,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Information Technology' (29 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (2.34945e-06) x this company's revenue ($73,100,591,104) = 171,746 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (1.44455) x this company's employee count (799,000) = 1,154,194 tCO2e. Final estimate is the average of the available method(s): 662,970 tCO2e."
MMM,,,,,,227343.9,median_model_revenue+employees,sector:Industrials,28,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Industrials' (28 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (9.89188e-06) x this company's revenue ($25,180,000,256) = 249,077 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (3.39852) x this company's employee count (60,500) = 205,610 tCO2e. Final estimate is the average of the available method(s): 227,344 tCO2e."
AOS,36785.8,median_model_revenue+employees,sector:Industrials,40,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Industrials' (40 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (6.94524e-06) x this company's revenue ($3,804,900,096) = 26,426 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (4.09963) x this company's employee count (11,500) = 47,146 tCO2e. Final estimate is the average of the available method(s): 36,786 tCO2e.",38360.3,median_model_revenue+employees,sector:Industrials,28,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Industrials' (28 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (9.89188e-06) x this company's revenue ($3,804,900,096) = 37,638 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (3.39852) x this company's employee count (11,500) = 39,083 tCO2e. Final estimate is the average of the available method(s): 38,360 tCO2e."
AKAM,4608.3,median_model_revenue+employees,sector:Information Technology,37,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Information Technology' (37 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (6.23987e-07) x this company's revenue ($4,322,833,920) = 2,697 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (0.592647) x this company's employee count (11,000) = 6,519 tCO2e. Final estimate is the average of the available method(s): 4,608 tCO2e.",13023.2,median_model_revenue+employees,sector:Information Technology,29,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Information Technology' (29 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (2.34945e-06) x this company's revenue ($4,322,833,920) = 10,156 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (1.44455) x this company's employee count (11,000) = 15,890 tCO2e. Final estimate is the average of the available method(s): 13,023 tCO2e."
APD,2846550.2,median_model_revenue+employees,sector:Materials,19,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Materials' (19 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (0.000159601) x this company's revenue ($12,602,200,064) = 2,011,329 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (174.599) x this company's employee count (21,087) = 3,681,771 tCO2e. Final estimate is the average of the available method(s): 2,846,550 tCO2e.",1593571.7,median_model_revenue+employees,sector:Materials,9,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Materials' (9 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (0.000101463) x this company's revenue ($12,602,200,064) = 1,278,660 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (90.5052) x this company's employee count (21,087) = 1,908,483 tCO2e. Final estimate is the average of the available method(s): 1,593,572 tCO2e."
ABNB,29615.5,median_model_revenue+employees,sector:Consumer Discretionary,21,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Consumer Discretionary' (21 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (3.71647e-06) x this company's revenue ($13,159,000,064) = 48,905 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (1.25926) x this company's employee count (8,200) = 10,326 tCO2e. Final estimate is the average of the available method(s): 29,615 tCO2e.",51067.0,median_model_revenue+employees,sector:Consumer Discretionary,18,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Consumer Discretionary' (18 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (6.64506e-06) x this company's revenue ($13,159,000,064) = 87,442 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (1.79165) x this company's employee count (8,200) = 14,692 tCO2e. Final estimate is the average of the available method(s): 51,067 tCO2e."
ARE,8913.4,median_model_revenue+employees,sector:Real Estate,8,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Real Estate' (8 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (5.49255e-06) x this company's revenue ($2,840,326,912) = 15,601 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (4.331) x this company's employee count (514) = 2,226 tCO2e. Final estimate is the average of the available method(s): 8,913 tCO2e.",64233.7,median_model_revenue+employees,sector:Real Estate,7,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Real Estate' (7 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (7.54576e-06) x this company's revenue ($2,840,326,912) = 21,432 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (208.239) x this company's employee count (514) = 107,035 tCO2e. Final estimate is the average of the available method(s): 64,234 tCO2e."
ALGN,26570.7,median_model_revenue+employees,sector:Health Care,25,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Health Care' (25 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (3.54491e-06) x this company's revenue ($4,139,532,032) = 14,674 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (1.88241) x this company's employee count (20,435) = 38,467 tCO2e. Final estimate is the average of the available method(s): 26,571 tCO2e.",26623.9,median_model_revenue+employees,sector:Health Care,18,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Health Care' (18 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (3.19915e-06) x this company's revenue ($4,139,532,032) = 13,243 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (1.95766) x this company's employee count (20,435) = 40,005 tCO2e. Final estimate is the average of the available method(s): 26,624 tCO2e."
ALLE,42154.9,median_model_revenue+employees,sector:Industrials,40,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Industrials' (40 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (6.94524e-06) x this company's revenue ($4,288,499,968) = 29,785 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (4.09963) x this company's employee count (13,300) = 54,525 tCO2e. Final estimate is the average of the available method(s): 42,155 tCO2e.",43810.8,median_model_revenue+employees,sector:Industrials,28,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Industrials' (28 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (9.89188e-06) x this company's revenue ($4,288,499,968) = 42,421 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (3.39852) x this company's employee count (13,300) = 45,200 tCO2e. Final estimate is the average of the available method(s): 43,811 tCO2e."
LNT,,,,,,41767.9,median_model_revenue+employees,sector:Utilities,10,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Utilities' (10 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (9.6601e-06) x this company's revenue ($4,429,000,192) = 42,785 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (13.8233) x this company's employee count (2,948) = 40,751 tCO2e. Final estimate is the average of the available method(s): 41,768 tCO2e."
ALL,27094.1,median_model_revenue+employees,sector:Financials,21,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Financials' (21 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (5.36817e-07) x this company's revenue ($70,137,004,032) = 37,651 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (0.312029) x this company's employee count (53,000) = 16,538 tCO2e. Final estimate is the average of the available method(s): 27,094 tCO2e.",13808.3,median_model_revenue+employees,sector:Financials,17,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Financials' (17 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (1.98278e-07) x this company's revenue ($70,137,004,032) = 13,907 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (0.25868) x this company's employee count (53,000) = 13,710 tCO2e. Final estimate is the average of the available method(s): 13,808 tCO2e."
AEE,,,,,,102229.2,median_model_revenue+employees,sector:Utilities,10,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Utilities' (10 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (9.6601e-06) x this company's revenue ($8,410,999,808) = 81,251 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (13.8233) x this company's employee count (8,913) = 123,207 tCO2e. Final estimate is the average of the available method(s): 102,229 tCO2e."
